0	 CONN	6	 1	 up
442000	 CONN	3	 2	 up
443000	 CONN	3	 2	 down
444000	 CONN	3	 2	 up
445000	 CONN	3	 2	 down
446000	 CONN	3	 2	 up
447000	 CONN	3	 2	 down
448000	 CONN	3	 2	 up
449000	 CONN	3	 2	 down
450000	 CONN	3	 2	 up
451000	 CONN	3	 2	 down
452000	 CONN	3	 2	 up
453000	 CONN	3	 2	 down
454000	 CONN	3	 2	 up
455000	 CONN	3	 2	 down
456000	 CONN	3	 2	 up
457000	 CONN	3	 2	 down
458000	 CONN	3	 2	 up
459000	 CONN	3	 2	 down
460000	 CONN	3	 2	 up
461000	 CONN	3	 2	 down
462000	 CONN	3	 2	 up
463000	 CONN	3	 2	 down
464000	 CONN	3	 2	 up
465000	 CONN	3	 2	 down
466000	 CONN	3	 2	 up
467000	 CONN	3	 2	 down
468000	 CONN	3	 2	 up
469000	 CONN	3	 2	 down
470000	 CONN	3	 2	 up
471000	 CONN	3	 2	 down
472000	 CONN	3	 2	 up
473000	 CONN	3	 2	 down
474000	 CONN	3	 2	 up
475000	 CONN	3	 2	 down
476000	 CONN	3	 2	 up
477000	 CONN	3	 2	 down
478000	 CONN	3	 2	 up
479000	 CONN	3	 2	 down
480000	 CONN	3	 2	 up
481000	 CONN	3	 2	 down
482000	 CONN	3	 2	 up
483000	 CONN	3	 2	 down
484000	 CONN	3	 2	 up
485000	 CONN	3	 2	 down
486000	 CONN	3	 2	 up
487000	 CONN	3	 2	 down
488000	 CONN	3	 2	 up
489000	 CONN	3	 2	 down
490000	 CONN	3	 2	 up
491000	 CONN	3	 2	 down
492000	 CONN	3	 2	 up
493000	 CONN	3	 2	 down
494000	 CONN	3	 2	 up
495000	 CONN	3	 2	 down
496000	 CONN	3	 2	 up
497000	 CONN	3	 2	 down
498000	 CONN	3	 2	 up
499000	 CONN	3	 2	 down
500000	 CONN	3	 2	 up
501000	 CONN	3	 2	 down
502000	 CONN	3	 2	 up
503000	 CONN	3	 2	 down
504000	 CONN	3	 2	 up
505000	 CONN	3	 2	 down
506000	 CONN	3	 2	 up
507000	 CONN	3	 2	 down
508000	 CONN	3	 2	 up
509000	 CONN	3	 2	 down
510000	 CONN	3	 2	 up
511000	 CONN	3	 2	 down
512000	 CONN	3	 2	 up
513000	 CONN	3	 2	 down
514000	 CONN	3	 2	 up
515000	 CONN	3	 2	 down
516000	 CONN	3	 2	 up
517000	 CONN	3	 2	 down
518000	 CONN	3	 2	 up
519000	 CONN	3	 2	 down
520000	 CONN	3	 2	 up
521000	 CONN	3	 2	 down
522000	 CONN	3	 2	 up
523000	 CONN	3	 2	 down
524000	 CONN	3	 2	 up
525000	 CONN	3	 2	 down
526000	 CONN	3	 2	 up
527000	 CONN	3	 2	 down
528000	 CONN	3	 2	 up
529000	 CONN	3	 2	 down
530000	 CONN	3	 2	 up
531000	 CONN	3	 2	 down
532000	 CONN	3	 2	 up
533000	 CONN	3	 2	 down
534000	 CONN	3	 2	 up
535000	 CONN	3	 2	 down
536000	 CONN	3	 2	 up
